priority,match_type,pattern,category,subcategory,discretionary
"30","keyword","CLIMB TULSA","Entertainment","Activity","Yes"
"30","keyword","RECREATION.GOV","Entertainment","Activity","Yes"
"30","keyword","REDWOOD SANTEELAKES","Entertainment","Activity","Yes"
"30","keyword","REDWOOD@SANTEELAKES","Entertainment","Activity","Yes"
"30","keyword","SAN DIEGO ZOO SAFARI PARK","Entertainment","Activity","Yes"
"30","keyword","SANTEE LAKES RECREATION","Entertainment","Activity","Yes"
"30","keyword","SUNSETLUAUAUG6","Entertainment","Activity","Yes"
"30","keyword","TEG-MIA THE ESCAPE GA","Entertainment","Activity","Yes"
"30","keyword","THE BUTTERFLY PALACE","Entertainment","Activity","Yes"
"30","keyword","WORLD OF WIZARDS MINI GOL","Entertainment","Activity","Yes"
"30","keyword","TOPGOLF","Entertainment","Activity","Yes"
"30","keyword","ILEARNTOBOAT","Entertainment","Boating","Yes"
"30","keyword","INDIAN POINT MARINA","Entertainment","Boating","Yes"
"30","keyword","BARNES &AMP; NOBLE","Entertainment","Books","Yes"
"30","keyword","BARNES & NOBLE","Entertainment","Books","Yes"
"30","keyword","BARNES AND NOBLE","Entertainment","Books","Yes"
"30","keyword","PECHANGA ARENA SD ASM","Entertainment","Concerts","Yes"
"30","keyword","TCKTWEB","Entertainment","Concerts","Yes"
"30","keyword","GOOGLE TOCA BOCA AB","Entertainment","Games","Yes"
"30","keyword","NINTENDO","Entertainment","Games","Yes"
"30","keyword","GAMESTOP","Entertainment","Games","Yes"
"30","keyword","PLAYSTATION","Entertainment","Games","Yes"
"30","keyword","STEAMGAMES","Entertainment","Games","Yes"
"30","keyword","XBOX","Entertainment","Games","Yes"
"30","keyword","AMC","Entertainment","Movies","Yes"
"30","keyword","FANDANGO","Entertainment","Movies","Yes"
"30","keyword","REGAL","Entertainment","Movies","Yes"
"30","keyword","GOOGLE YOUTUBEPREMIUM","Entertainment","Music","Yes"
"30","keyword","GOFANTIX BROKEN ARROW","Entertainment","Sports","Yes"
"30","keyword","DISNEY","Entertainment","Streaming","Yes"
"30","keyword","NETFLIX","Entertainment","Streaming","Yes"
"30","keyword","SPOTIFY","Entertainment","Streaming","Yes"
"30","keyword","ANNUAL MEMBERSHIP FEE","Fee","Fee","Yes"
"30","keyword","BEVERAGES &AMP; MORE","Food and Drink","Alcohol","Yes"
"30","keyword","PREFERRED LIQUOR","Food and Drink","Alcohol","Yes"
